"body","PR_ID","acknowledgement","action","apology","citation","code","commit","disagreement","emoji","greeting","offer","opinion","question","request","requirement","statement","suggestion","summon","thank","welcome"
"fixes #35159 _x000D_
_x000D_
When update using nested attributes is performed on the field which has `has_rich_text` then field value was not getting updated. _x000D_
_x000D_
```_x000D_
class Message < ApplicationRecord_x000D_
    # also occurs with `has_many`_x000D_
    has_one :post_x000D_
_x000D_
    accepts_nested_attributes_for :post_x000D_
end_x000D_
_x000D_
class Post < ApplicationRecord_x000D_
    has_rich_text :content_x000D_
end_x000D_
```_x000D_
_x000D_
Following test is failing on master. This PR fixes the issue._x000D_
```_x000D_
test ""can update post from within message"" do_x000D_
    message = Message.create!(title: ""Seasons"")_x000D_
    post = message.create_post!_x000D_
_x000D_
    # test updating post directly from the message_x000D_
    message.update!(post_attributes: { content: ""Test content"", id: post.id })_x000D_
_x000D_
    # it appears that everything updated?_x000D_
    assert_equal ""Test content"", message.post.content.to_plain_text_x000D_
_x000D_
    # let's reload the model and double check_x000D_
    message.reload_x000D_
_x000D_
    # this fails. The content is never saved._x000D_
    assert_equal ""Test content"", message.post.content.to_plain_text_x000D_
end_x000D_
```_x000D_
","C 0000001",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"### Summary_x000D_
_x000D_
This was a very (positively) impactful change for us with postgres + pgpool, as previously we had to be super careful not to leak connections across various areas like thread pools, puma workers, etc._x000D_
_x000D_
...but it's not mentioned in the changelog, so I found it by looking through source code. I think it deserves an honorable mention :)_x000D_
_x000D_
### Other Information_x000D_
_x000D_
(guidelines say that CHANGELOG modifications should go at the top of the file. Let me know if this should be moved to the top of the Active Record section in the 5.2 release notes)","C 0000002",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
"While looking at the comment(https://github.com/rails/rails/issues/35417#issuecomment-467826466) on issue #35417 found deprecation message had unnecessary space in it. Fixed that and was checking why `ActiveSupport::Deprecation.warn <<~eowarn` where not indented properly when found unnecessary space in another deprecation message. _x000D_
_x000D_
Did not add `[ci skip]` because of changes are to the code. _x000D_
_x000D_
Feel free to close this PR if this is a cosmetic change ","C 0000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"### Summary_x000D_
Indentation in these examples was set to one space only, in this patch I just fix it to use two spaces since that is the preferred style.","C 0000004",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"This is a small change of guide._x000D_
_x000D_
In addition to `: json`,`: xml`, I think there is something that changes the content-type._x000D_
However, I thought that guide would be difficult to see if I added them all, so deleted `()` and added TIP._x000D_
_x000D_
What do you think?","C 0000005",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"In here #35406 `formats` was renamed to `format`. Updated the test description for same._x000D_
_x000D_
@r? @tenderlove ","C 0000006",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"# Background_x000D_
_x000D_
I had first added these changes into a separate commit on https://github.com/rails/rails/pull/35390. _x000D_
_x000D_
Was encouraged by @georgeclaghorn [in this comment](https://github.com/rails/rails/pull/35390#discussion_r259695792) to open a separate PR for this change. _x000D_
_x000D_
# Overview_x000D_
_x000D_
Consider a model with `One` and `Many` attachments configured:_x000D_
_x000D_
```ruby_x000D_
class User < ActiveRecord::Base_x000D_
  has_one_attached :avatar_x000D_
  has_many_attached :highlights_x000D_
end_x000D_
```_x000D_
_x000D_
### One Attachment_x000D_
_x000D_
After attaching `One` attachment (`:avatar`), we can see that the associated_x000D_
`_blob` record (`:avatar_blob`) still returns as `nil`._x000D_
_x000D_
```ruby_x000D_
user.avatar.attach(blob)_x000D_
user.avatar_attachment.present?  => true_x000D_
user.avatar_blob.present?        => false    # Incorrect!_x000D_
```_x000D_
_x000D_
This is a false negative. It happens because after the attachment and blob_x000D_
are built:_x000D_
_x000D_
  1. The record already has its `_blob` association loaded, as `nil`_x000D_
  2. the `::Attachment` is associated with the record but the `::Blob` only gets_x000D_
    associated with the `::Attachment`, not the record itself_x000D_
_x000D_
In reality, the blob does in fact exist. We can verify this as follows:_x000D_
_x000D_
```ruby_x000D_
user.avatar.attach(blob)_x000D_
user.avatar_attachment.blob.present?    => true  # Blob does exist!_x000D_
```_x000D_
_x000D_
The fix in this change is to simply assign the `::Blob` when assigning_x000D_
the `::Attachment`. After this fix is applied, we correctly observe:_x000D_
_x000D_
```ruby_x000D_
user.avatar.attach(blob)_x000D_
user.avatar_attachment.present?  => true_x000D_
user.avatar_blob.present?        => true    # Woohoo!_x000D_
```_x000D_
_x000D_
### Many Attachments_x000D_
_x000D_
We don't see this issue with `Many` attachments because the `_blob` association_x000D_
is already loaded as part of attaching more/newer blobs._x000D_
_x000D_
```ruby_x000D_
user.highlights.attach(blob)_x000D_
user.highlights_attachments.any?    => true_x000D_
user.highlights_blobs.any?          => true_x000D_
```_x000D_
","C 0000007",0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
"This commit ensures that locals are passed in to the template objects_x000D_
when they are constructed, then removes the `locals=` mutator on the_x000D_
template object.  This means we don't need to mutate Template objects_x000D_
with locals in the `decorate` method._x000D_
_x000D_
Similar to #35408 and #35406","C 0000008",0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"This converts Template objects to only have one variant because they can only have one variant.  Instead of storing a single element array, just store the variant directly on the template object._x000D_
_x000D_
Similar to #35406","C 0000009",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
"This is a quality of life improvement for those developing ActionView itself (cc @tenderlove)_x000D_
_x000D_
This PR first renames the existing `inspect` implementation to `short_identifier`. This improves the 👀 reading of `identifier_method_name`, which used to read `inspect.tr(""^a-z_"", ""_"")`, which is a bit awkward because it relies on what `inspect` _happens_ to return. `short_identifier.tr(""^a-z_"", ""_"")` conveys what it does better (and allows us to change `inspect` 🎉 )._x000D_
_x000D_
Inspect used to return a string like `app/views/home/index.html.erb`, which is confusing because I would normally expect to see a type and it isn't immediately obvious that that isn't a string, particularly when in an array (ie. `[some/template, another/template]` parses to me the same as `[""some/template"", ""another/template""]` on first glance)._x000D_
_x000D_
This PR changes inspect to return a string like:_x000D_
```_x000D_
#<ActionView::FileTemplate app/views/tags/_tag.html.erb locals=[""name""]>_x000D_
```_x000D_
_x000D_
Including the class name makes it look more like most `#inspect` methods. I also added `locals` to this output because it's often different for the same identifier (we need to compile each set of locals separately). It _could_ be helpful to include handler, formats, and variants, but they should be inferable by the developer from the identifier, so I didn't include them._x000D_
_x000D_
I'd guess the reason we override inspect here in the first place is to avoid printing out the whole source code for the template.","C 0000010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Templates only have one format.  Before this commit, templates would be_x000D_
constructed with a single element array that contained the format.  This_x000D_
commit eliminates the single element array and just implements a_x000D_
`format` method.  This saves one array allocation per template.","C 0000011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"These patches deprecate Template construction *without* a format.  In other words, this PR guarantees that a constructed template object will always have an associated format.  This allows us to eliminate some nil checks as well as avoid mutations in the `decorate` method._x000D_
","C 0000012",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"### Summary_x000D_
_x000D_
#34505 introduced the ability to block writes even if the database allows it. It added a `READ_QUERY` regex to help determine if a query was a read or a write. The regex is built using `ActiveRecord::ConnectionAdapters::AbstractAdapter.build_read_query_regexp` and it doesn't account for reads with leading parenthesis and/or spaces._x000D_
_x000D_
https://github.com/rails/rails/blob/67732efcb658807929be0e968642ee1d90b3c986/activerecord/lib/active_record/connection_adapters/abstract_adapter.rb#L104-L106_x000D_
_x000D_
This would cause read queries like unions (`(SELECT ...) UNION (SELECT ...)`) to be treated as writes._x000D_
_x000D_
In this PR, I update the regex allow for leading parenthesis and/or spaces._x000D_
","C 0000013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Fixes issue https://github.com/rails/rails/issues/35312_x000D_
_x000D_
Rails should not override Cache-Control header if one set manually","C 0000014",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Related cbcdecd, 2a56b2d._x000D_
_x000D_
This is a regression caused by cbcdecd._x000D_
_x000D_
If query caching is enabled, prepared statement handles are never_x000D_
re-used, since we missed that a query is preprocessed when query caching_x000D_
is enabled, but doesn't keep the `preparable` flag._x000D_
_x000D_
We should care about that case.","C 0000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Related to 287920ca7d06c8f51198ec750d65ba703835b257,_x000D_
https://3.basecamp.com/3076981/buckets/24956/chats/12416418@1619936443_x000D_
_x000D_
/cc @matthewd ","C 0000016",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"### Summary_x000D_
_x000D_
Backport of https://github.com/rails/rails/pull/35395 targeting 5.2.x._x000D_
_x000D_
### Other Information_x000D_
_x000D_
Please refer to https://github.com/rails/rails/pull/35395 for details.","C 0000017",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"### Summary_x000D_
_x000D_
Wait until initialization has completed before we assign `config.action_mailer` to `ActionMailer::Base`._x000D_
_x000D_
Eager loading of `app/mailers` must also be disabled._x000D_
_x000D_
### Other Information_x000D_
_x000D_
The ActionMailer railtie looks at `config.action_mailer` and assigns these options to `ActionMailer::Base`. However, it was previously doing so as soon as soon as `ActionMailer` was loaded (`ActiveSupport.on_load(:action_mailer)`)._x000D_
_x000D_
We now wait for initialization to complete (`ActiveSupport.on_load(:after_initialize)`) _as well_ as the `ActionMailer` being loaded._x000D_
_x000D_
This is an important change because `ActionMailer` (and its config) is explicitly designed to be extensible, specifically ActionMailer allows third-party gems to register additional ""delivery methods""._x000D_
_x000D_
Delivery methods can be registered with third-party Railtie by using:_x000D_
_x000D_
```ruby_x000D_
class Railtie < ::Rails::Railtie_x000D_
  initializer ""foo_mail.register_delivery_method"" do_x000D_
    ActionMailer::Base.add_delivery_method :foo, FooMailer_x000D_
  end_x000D_
end_x000D_
```_x000D_
_x000D_
or ideally:_x000D_
_x000D_
_x000D_
```ruby_x000D_
class Railtie < ::Rails::Railtie_x000D_
  initializer ""foo_mail.register_delivery_method"" do_x000D_
    ActiveSupport.on_load(:action_mailer) do_x000D_
      add_delivery_method :foo, FooMailer_x000D_
    end_x000D_
  end_x000D_
end_x000D_
```_x000D_
_x000D_
`add_delivery_method` adds support for `ActionMailer::Base.foo_settings` and `config.action_mailer.foo_settings` (https://github.com/rails/rails/blob/master/actionmailer/lib/action_mailer/delivery_methods.rb#L51)._x000D_
_x000D_
However, calling `add_delivery_method` requires `ActionMailer` to be loaded, and _prior_ to this commit, the config would already have been assigned on `ActionMailer::Base`, so there's no opportunity to do:_x000D_
_x000D_
```ruby_x000D_
config.action_mailer.foo_settings = {_x000D_
    foo_auth: 'bar'_x000D_
} _x000D_
```_x000D_
_x000D_
If you were previously to put the above in your environment config, you'd get an error because when `ActionMailer` when `ActionMailer` is eager loaded in production, third-party gems haven't run their initializers so `undefined method 'foo_settings=' for ActionMailer::Base:Class` is raised (e.g. https://github.com/mailgun/mailgun-ruby/issues/104)._x000D_
_x000D_
Instead, if you were to move your logic into `app/initializers/foo_mail.rb` e.g._x000D_
_x000D_
```ruby_x000D_
Rails.application.configure do_x000D_
  config.action_mailer.delivery_method = :foo_x000D_
  config.action_mailer.foo_settings = {_x000D_
      api_key: ENV['FOO_API_KEY'],_x000D_
      domain: ENV['FOO_DOMAIN'],_x000D_
  }_x000D_
end_x000D_
```_x000D_
_x000D_
this _silently_ fails _in production_ (with eager loading enabled), because we're (without this PR) assigning the config _after_ `ActionMailer` has been loaded (and the config copied across), so although we've set the config it is never used and out of sync with `ActionMailer::Base`, which for example still returns `:smtp` for `ActionMailer::Base.delivery_method`, even though `Rails.application.config.action_mailer.delivery_method` correctly returns `:foo`._x000D_
_x000D_
This commit resolves the issue by ensuring we wait until all initializers have run _before_ settings up `ActionMailer::Base` with options from `action_mailer.config`._x000D_
_x000D_
We can now in `app/initializers/foo_mailer.rb` do:_x000D_
_x000D_
```ruby_x000D_
ActiveSupport.on_load(:action_mailer) do_x000D_
  Rails.application.configure do_x000D_
      config.action_mailer.delivery_method = :foo_x000D_
      config.action_mailer.foo_settings = {_x000D_
        api_key: ENV['FOO_API_KEY'],_x000D_
        domain: ENV['FOO_DOMAIN'],_x000D_
      }_x000D_
  end_x000D_
end_x000D_
```","C 0000018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,"C 0000019",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,"C 0000020",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
"### Summary_x000D_
_x000D_
This PR updates [puma's](https://github.com/puma/puma/) version from 3.11 to 3.12._x000D_
","C 0000021",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"### Summary_x000D_
_x000D_
`SecureRandom` is used in `generate_key` but was never required in this file. This doesn't fix any bugs in Rails but lets me save a confusing line in one of my applications. 💜","C 0000022",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"`select` can also use symbol as the field specification, so we updated the usage code.","C 0000023",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Shrine relies on `ActionDispatch::Http::UploadedFile` working with `IO.copy_stream`. In https://github.com/rails/rails/pull/28676, `#to_path` method was added to `ActionDispatch::Http::UploadedFile`, which broke usage with `IO.copy_stream` (https://github.com/shrinerb/shrine/issues/353):_x000D_
_x000D_
```rb_x000D_
source = ActionDispatch::Http::UploadedFile.new(...)_x000D_
IO.copy_stream(source, destination)_x000D_
# ~> TypeError: can't convert ActionDispatch::Http::UploadedFile to IO (ActionDispatch::Http::UploadedFile#to_io gives Tempfile)_x000D_
```_x000D_
_x000D_
Normally `IO.copy_stream` just calls `#read` on the source object to read the content. However, when `#to_path` is defined, `IO.copy_stream` calls `#to_io` in order to retrieve the raw `File` object. In this case it trips up, because `ActionDispatch::Http::UploadedFile#to_io` returned a `Tempfile` object, which is not an `IO` subclass._x000D_
_x000D_
We fix this by modifying `#to_io` to return an actual `File` object (which is a `IO` subclass). I think this is also more correct behaviour in general._x000D_
_x000D_
I had to test this with an actual `Tempfile` object, so then I also updated the rest of the tests to use an actual `Tempfile` objects (which simplified them).","C 0000024",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"```ruby_x000D_
class Post < ActiveRecord::Base_x000D_
  enum status: %i[ drafted active trashed ]_x000D_
end_x000D_
_x000D_
Post.not_drafted # => where.not(status: :drafted)_x000D_
Post.not_active  # => where.not(status: :active)_x000D_
Post.not_trashed # => where.not(status: :trashed)_x000D_
```_x000D_
_x000D_
Particularly convenient when you want to disallow access in a controller, like `Post.not_trashed.find(params[:id])`.","C 0000025",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
